Gene_id,18505_0,18505_1,18505_2,18505_3,18505_4,18505_5,18505_6,18505_7,18505_8,18505_9,18505_10,18505_11,18505_12,18505_13,18505_14,18505_15
ENSG00000273291,17,4,4,2,12,9,6,6,2,0,0,4,0,1,2,8
ENSG00000273274,375,277,256,426,371,667,437,313,183,225,207,117,190,166,203,213
ENSG00000273259,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1
ENSG00000273173,32,10,12,6,1,14,4,16,13,11,6,19,15,24,21,27
ENSG00000273154,8,12,16,15,28,14,23,11,9,13,7,6,9,17,10,18
ENSG00000273079,209,32,44,439,718,244,225,256,226,171,68,69,155,137,116,139
ENSG00000273045,87,118,47,31,82,55,59,42,37,53,57,37,25,33,26,36
ENSG00000272658,29,45,51,32,83,39,41,31,38,33,12,33,19,41,18,28
ENSG00000272636,8,24,151,408,206,69,24,20,4,5,5,4,3,2,3,3
ENSG00000272573,6,1,3,3,3,4,2,2,1,0,0,3,4,1,1,2
ENSG00000272442,16,9,5,15,10,13,14,8,8,6,3,6,3,14,9,6
ENSG00000272325,971,1565,1304,1458,1396,1243,1239,972,1023,1025,838,863,851,1264,993,1050
ENSG00000272305,15,15,6,13,14,23,8,13,5,3,3,9,3,3,9,5
ENSG00000272214,1,1,0,7,28,13,12,5,7,11,3,0,1,0,1,0
ENSG00000272195,42,24,15,23,24,60,25,40,47,68,51,62,44,68,71,54
ENSG00000272047,708,1381,998,1489,1182,1278,996,778,669,859,790,739,709,1067,875,783
ENSG00000271810,7,6,3,4,2,25,6,6,5,5,2,0,1,3,0,1
ENSG00000271698,2,4,2,1,5,1,4,1,5,3,0,2,3,3,2,2
ENSG00000271321,56,58,43,20,38,25,22,17,14,10,17,13,13,14,9,7
ENSG00000271303,57,75,51,65,59,36,51,21,70,77,52,50,45,54,34,35
ENSG00000271092,1,1,1,1,4,3,2,13,2,15,7,6,8,12,5,4
ENSG00000271043,2226,1309,1512,2033,1267,2589,1191,1808,1545,2633,2792,2957,2182,3217,2806,2588
ENSG00000270672,30,19,18,22,35,55,14,27,29,45,42,48,33,57,52,44
ENSG00000270394,2,1,4,1,0,4,4,2,2,8,8,7,3,6,3,7
ENSG00000270188,9,2,1,3,3,5,6,1,1,10,9,7,1,5,0,6
ENSG00000270149,10,9,8,5,6,4,12,4,9,13,5,5,6,11,20,9
ENSG00000269964,11,18,10,45,28,31,24,15,10,10,8,7,6,12,8,5
ENSG00000269883,55,5,8,1,8,1,4,0,2,0,0,0,1,0,0,0
ENSG00000269858,635,470,497,575,559,557,660,506,483,648,581,454,408,663,503,492
ENSG00000269855,7,1,2,1,1,7,3,1,0,1,0,0,2,1,0,1
ENSG00000269846,7,16,7,9,8,7,6,5,4,3,1,0,1,2,2,3
ENSG00000269832,2,3,3,2,2,9,3,6,4,2,3,2,2,4,1,2
ENSG00000269783,0,0,5,11,8,12,10,4,7,14,7,7,12,12,9,15
ENSG00000269781,4,4,3,4,6,1,6,2,1,2,1,2,0,3,2,3
ENSG00000269753,4,5,5,5,9,11,20,8,9,4,7,3,8,10,6,12
ENSG00000269693,10,14,15,18,33,21,24,20,19,17,14,11,18,23,11,4
ENSG00000269690,8,1,5,13,46,28,92,69,66,45,21,30,25,32,18,20
ENSG00000269657,40,16,23,28,20,28,32,27,14,28,36,19,15,25,26,16
ENSG00000269647,1,2,0,3,3,1,0,2,0,0,0,1,1,0,1,0
ENSG00000269559,4,4,3,2,1,2,3,0,4,2,1,5,1,5,3,4
ENSG00000269558,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
ENSG00000269549,20,9,6,11,16,18,13,15,23,13,9,4,6,10,11,7
ENSG00000269533,0,2,3,2,4,5,4,3,5,2,5,4,7,5,10,3
ENSG00000269526,24,5,1,4,2,17,23,20,10,8,7,12,5,1,9,1
ENSG00000269514,31,7,7,30,18,41,34,47,17,28,29,13,24,19,13,22
ENSG00000269430,197,326,621,560,242,188,261,175,128,203,182,157,175,267,256,238
ENSG00000269404,101,43,163,57,64,13,30,10,10,9,4,4,7,2,5,2
ENSG00000269402,10,14,8,5,7,2,9,3,2,3,3,2,1,2,1,1
ENSG00000269396,4,2,1,1,3,1,2,0,1,3,3,0,1,0,2,2
ENSG00000269363,2,5,6,1,4,3,4,3,12,3,7,4,3,5,10,4
ENSG00000269343,1038,1219,1027,967,978,638,958,594,415,346,249,344,269,403,272,285
ENSG00000269302,14,30,20,21,13,15,10,9,7,12,17,3,9,20,10,9
ENSG00000269190,894,722,782,1283,1011,1864,1065,971,436,628,622,273,386,457,577,492
ENSG00000269175,19,17,19,11,21,23,16,14,6,13,13,17,7,26,23,20
ENSG00000269165,21,10,7,13,14,48,10,18,8,17,10,6,4,9,9,4
ENSG00000269155,2,3,23,8,3,0,1,1,2,0,1,1,0,0,1,0
ENSG00000269113,572,360,585,982,953,1674,1530,928,1004,1178,852,605,539,599,456,467
ENSG00000269103,3,0,2,3,6,7,4,3,5,7,9,2,5,5,7,10
ENSG00000269089,23,12,17,24,21,19,13,18,6,8,10,4,7,7,7,4
ENSG00000269067,5,6,8,8,2,5,7,5,3,1,2,4,5,0,0,2
ENSG00000269058,2,5,7,0,6,3,2,2,0,1,1,0,0,0,0,0
ENSG00000269028,10114,5599,6634,9452,5771,11971,5312,6263,6844,12303,11878,11324,9928,14235,12387,11314
ENSG00000268996,4,4,7,15,3,5,6,10,11,9,9,10,6,10,7,12
ENSG00000268991,12,3,7,3,2,4,5,2,5,5,8,5,3,1,1,4
ENSG00000268964,61,0,4,20,21,50,43,44,27,21,12,14,6,6,11,5
ENSG00000268950,4,2,0,0,0,2,0,3,1,0,0,0,0,0,0,0
ENSG00000268948,22,18,5,12,19,19,12,20,15,15,7,8,12,6,11,12
ENSG00000268942,1069,1632,1393,1341,1117,998,1124,703,379,199,200,251,127,223,182,186
ENSG00000268941,1,3,1,9,3,2,3,8,8,3,0,7,3,10,2,0
ENSG00000268927,11,10,5,6,9,9,9,8,20,18,13,13,17,12,11,17
ENSG00000268891,5,11,3,6,11,7,5,7,3,14,7,6,5,6,4,5
ENSG00000268885,66,80,43,38,60,12,46,27,18,15,2,11,6,16,5,7
ENSG00000268865,21,3,6,1,3,0,2,0,0,0,1,2,0,0,0,0
ENSG00000268856,4,5,4,6,5,8,2,4,10,4,4,5,4,5,17,6
ENSG00000268852,16,12,13,10,11,14,10,15,19,35,20,8,15,37,14,24
ENSG00000268798,32,30,49,32,12,25,13,4,8,6,5,7,11,11,1,8
ENSG00000268688,7,9,7,7,15,9,41,18,15,21,18,12,8,18,13,19
ENSG00000268635,12,23,9,15,9,19,20,18,15,11,14,15,7,4,3,5
ENSG00000268628,0,0,0,0,1,0,1,7,2,2,4,2,4,12,10,10
ENSG00000268578,1,2,2,8,1,4,4,7,4,2,3,4,5,12,8,6
ENSG00000268537,1,0,0,3,5,3,2,3,3,8,2,1,6,7,2,8
ENSG00000268466,15,13,13,8,16,16,4,9,3,18,16,5,3,10,8,14
ENSG00000268461,10,2,8,8,5,1,2,1,0,4,0,1,0,0,1,1
ENSG00000268412,658,1005,778,984,761,1002,860,537,377,495,450,390,275,495,447,338
ENSG00000268403,16,8,16,17,21,26,16,7,6,7,15,5,13,11,8,9
ENSG00000268402,14,7,5,17,12,12,8,3,8,8,8,7,5,8,6,12
ENSG00000268358,20,22,14,56,70,69,95,80,78,99,59,96,54,140,117,109
ENSG00000268351,14,483,1080,159,11,1,0,3,1,0,0,0,0,1,0,0
ENSG00000268324,9,3,5,3,6,4,4,1,2,5,0,2,2,2,4,6
ENSG00000268301,1,0,0,3,1,1,1,0,1,1,1,0,1,2,3,0
ENSG00000268279,9,6,18,8,19,6,7,6,11,3,7,1,5,14,4,19
ENSG00000268218,119,62,49,74,62,67,51,64,36,58,48,31,44,68,50,61
ENSG00000268211,0,2,4,1,3,7,4,2,1,10,4,1,4,3,7,2
ENSG00000268182,16,16,14,11,17,13,28,20,29,26,10,15,16,17,32,19
ENSG00000268179,0,0,2,14,30,24,11,16,10,1,7,3,3,8,7,4
ENSG00000268175,144,124,209,580,341,513,243,254,80,140,143,138,132,166,177,139
ENSG00000268172,10,3,4,6,5,6,2,1,10,5,3,4,5,20,2,7
ENSG00000268162,3,1,0,4,4,1,6,13,4,5,7,1,2,1,1,0
ENSG00000268098,10,6,5,5,3,3,2,5,0,0,3,3,0,3,1,2
ENSG00000268069,11,2,1,2,2,3,3,1,1,1,0,0,3,6,1,2
ENSG00000268040,7,17,13,12,2,2,5,5,2,2,0,2,2,2,4,2
ENSG00000267985,7,7,5,0,5,3,3,5,2,1,2,0,5,4,0,4
ENSG00000267976,0,1,1,0,0,0,2,2,0,0,0,0,0,3,0,2
ENSG00000267964,6,5,6,1,0,1,2,3,4,1,1,5,6,9,2,6
ENSG00000267941,3,1,2,3,3,5,1,1,0,2,1,1,1,5,2,3
ENSG00000267913,9,3,8,18,11,44,21,41,24,51,50,16,18,39,45,10
ENSG00000267909,30,20,7,11,40,7,31,46,29,23,10,27,12,21,17,17
ENSG00000267908,2,5,4,6,2,2,5,2,7,0,0,2,0,4,1,1
ENSG00000267893,1,12,7,8,13,7,2,3,1,3,1,0,1,2,1,0
ENSG00000267889,44,70,60,71,53,78,80,51,59,63,51,76,58,62,70,50
ENSG00000267882,13,14,7,0,1,3,14,4,4,0,1,3,3,3,1,1
ENSG00000267855,31,25,39,38,40,38,28,19,21,22,23,23,14,19,18,21
ENSG00000267848,13,11,10,7,7,6,7,5,16,15,9,8,19,26,9,44
ENSG00000267796,39,51,113,82,115,110,108,66,74,102,97,75,62,115,88,93
ENSG00000267795,11,7,1,2,5,5,10,16,7,15,10,18,12,21,7,24
ENSG00000267710,7,3,3,1,4,5,4,5,9,9,3,2,6,9,6,7
ENSG00000267706,2,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000267680,125,98,100,118,142,158,121,103,101,107,114,55,75,105,94,96
ENSG00000267673,9,8,8,11,9,7,10,18,4,10,6,2,4,4,5,7
ENSG00000267631,4,5,3,5,3,9,6,7,11,7,12,6,4,4,4,2
