Gene_id,19159_0,19159_1,19159_2,19159_3,19159_4,19159_5,19159_6,19159_7,19159_8,19159_9,19159_10,19159_11,19159_12,19159_13,19159_14,19159_15
ENSG00000273291,14,2,2,1,3,12,7,11,0,1,0,0,0,0,0,33
ENSG00000273274,215,200,154,213,193,367,153,583,162,97,70,97,90,173,104,1141
ENSG00000273259,1,0,1,1,1,2,1,4,0,1,4,0,1,1,2,9
ENSG00000273173,28,14,10,13,7,8,12,32,28,19,19,15,17,18,23,89
ENSG00000273154,6,10,9,8,8,10,19,81,15,10,12,10,20,11,12,118
ENSG00000273079,84,25,6,25,165,273,23,391,134,52,15,36,21,19,22,287
ENSG00000273045,53,68,30,27,23,35,22,340,44,17,26,29,12,17,29,148
ENSG00000272658,26,23,32,17,21,38,47,217,29,15,19,17,23,32,6,258
ENSG00000272636,8,8,56,70,27,10,0,6,0,0,0,0,2,1,0,15
ENSG00000272573,1,1,2,0,1,2,0,4,0,1,1,0,0,1,0,7
ENSG00000272442,4,3,2,9,5,9,9,26,11,6,6,9,5,5,4,48
ENSG00000272325,421,747,552,473,463,515,393,1981,455,436,317,390,324,360,335,3052
ENSG00000272305,7,5,8,3,3,3,6,17,2,1,0,8,5,2,1,21
ENSG00000272214,0,0,1,1,15,16,29,330,27,11,32,0,3,3,0,8
ENSG00000272195,4,2,3,9,1,20,6,17,8,9,8,6,8,6,8,28
ENSG00000272047,305,594,473,669,451,675,542,2886,623,679,540,671,497,473,472,3622
ENSG00000271810,4,2,2,2,1,4,0,7,2,5,1,1,0,1,0,2
ENSG00000271698,1,3,1,1,0,3,13,29,4,2,9,3,4,6,2,35
ENSG00000271321,73,105,59,60,29,32,32,127,22,16,28,22,18,33,9,304
ENSG00000271303,11,22,18,8,9,18,17,86,18,24,10,9,7,17,8,182
ENSG00000271092,3,4,0,0,0,3,1,10,3,3,5,6,3,1,5,20
ENSG00000271043,5406,2247,2151,2594,1206,3165,923,4950,2408,3194,3972,4564,3452,2551,3587,16469
ENSG00000270672,102,51,33,69,43,103,22,119,52,97,89,133,69,85,104,503
ENSG00000270394,2,1,0,7,0,4,2,5,4,8,3,7,6,4,4,35
ENSG00000270188,11,4,1,5,5,7,2,7,3,6,11,12,8,9,7,32
ENSG00000270149,5,1,5,1,4,15,3,28,6,13,10,10,5,9,1,23
ENSG00000269964,16,13,20,18,7,9,4,22,7,1,1,7,3,1,1,10
ENSG00000269883,50,15,5,3,0,0,1,2,1,0,1,0,0,0,0,2
ENSG00000269858,281,250,261,324,368,519,500,2641,605,498,457,550,481,548,390,3303
ENSG00000269855,1,0,1,3,2,8,1,3,0,0,2,0,0,0,0,0
ENSG00000269846,4,16,6,5,3,8,10,12,0,1,3,0,1,0,1,19
ENSG00000269832,1,2,1,1,2,2,1,2,1,3,3,0,2,2,1,16
ENSG00000269783,1,1,2,2,2,5,2,13,4,10,11,7,4,9,11,33
ENSG00000269781,3,0,7,8,2,12,8,22,7,6,0,2,11,4,2,37
ENSG00000269753,1,2,2,4,5,9,2,9,6,6,3,7,5,0,5,26
ENSG00000269693,4,8,9,11,9,11,13,93,11,11,9,10,11,14,7,68
ENSG00000269690,2,1,0,1,6,18,13,82,11,5,2,8,13,8,5,68
ENSG00000269657,14,8,12,17,21,55,8,27,12,19,25,25,23,29,18,107
ENSG00000269647,11,4,10,15,12,18,5,15,1,3,2,5,0,0,0,3
ENSG00000269559,0,3,1,1,0,0,2,12,3,2,1,0,0,1,2,12
ENSG00000269558,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,6
ENSG00000269549,8,7,6,15,11,19,11,28,11,21,17,13,11,17,22,62
ENSG00000269533,0,1,0,2,0,1,1,16,3,3,1,2,5,3,1,18
ENSG00000269526,0,0,2,2,3,6,1,5,1,1,1,0,1,1,2,2
ENSG00000269514,10,7,6,22,5,16,6,21,6,6,12,3,2,2,2,21
ENSG00000269430,134,338,449,853,229,228,154,690,136,102,96,121,83,171,74,1249
ENSG00000269404,35,21,56,81,18,11,5,26,6,2,12,3,4,3,3,20
ENSG00000269402,3,2,2,3,1,4,7,20,2,1,1,3,1,6,6,11
ENSG00000269396,3,3,0,1,0,0,3,40,7,0,4,3,5,3,1,21
ENSG00000269363,2,4,4,5,2,3,1,5,1,0,4,1,3,1,1,9
ENSG00000269343,642,871,636,899,596,774,535,3258,542,479,429,460,370,374,281,2582
ENSG00000269302,5,4,0,10,5,1,4,6,2,0,2,2,5,0,1,11
ENSG00000269190,455,641,715,892,931,1397,970,2855,579,464,475,500,425,695,447,6034
ENSG00000269175,10,14,9,9,15,20,14,36,20,14,26,30,12,10,16,54
ENSG00000269165,5,2,8,6,6,13,17,77,26,7,12,14,8,13,6,162
ENSG00000269155,2,5,21,34,2,0,0,6,1,3,2,1,0,0,0,6
ENSG00000269113,226,102,348,866,538,1529,657,5756,742,555,423,346,270,308,225,2366
ENSG00000269103,1,0,2,2,4,4,0,5,3,6,0,2,3,3,1,18
ENSG00000269089,5,9,8,10,14,19,4,22,11,6,3,8,5,2,2,15
ENSG00000269067,17,17,13,17,9,9,9,23,2,3,4,5,2,0,2,19
ENSG00000269058,12,6,3,0,1,3,0,4,0,0,0,0,0,1,0,1
ENSG00000269028,14504,6908,7649,8728,4265,9561,3321,18479,7203,10302,11873,14714,12893,9416,12832,69499
ENSG00000268996,3,3,3,4,1,1,1,33,3,7,6,5,3,5,7,52
ENSG00000268991,0,1,1,1,0,3,1,6,2,2,2,1,5,3,8,8
ENSG00000268964,4,0,0,1,3,2,1,4,3,0,0,0,3,0,4,12
ENSG00000268950,6,2,3,0,3,3,0,9,0,0,0,0,2,0,0,3
ENSG00000268948,4,0,1,6,3,5,12,27,7,8,6,4,5,5,5,29
ENSG00000268942,374,751,471,530,421,427,399,1713,155,144,119,177,104,99,186,1449
ENSG00000268941,0,0,0,3,4,15,4,7,3,1,2,3,2,3,6,11
ENSG00000268927,8,4,1,10,6,3,4,34,7,5,10,20,10,16,20,26
