gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000004961,45.84,37.33,31.81,38.13,25.4,34.99,73.59,37.77,32.92
ENSG00000004975,27.27,45.86,54.71,38.33,40.21,38.57,29.01,45.5,43.09
ENSG00000005001,1.39,2.67,2.14,0.33,0.67,0.19,0.81,0.0,0.0
ENSG00000005007,44.36,42.9,46.72,38.06,32.9,30.49,35.75,34.67,36.27
ENSG00000005020,4.79,4.49,3.08,4.54,6.92,4.06,4.13,2.4,3.08
ENSG00000005022,448.94,329.82,346.41,314.68,310.61,366.77,427.77,235.69,177.49
ENSG00000005059,21.21,11.83,6.86,12.09,5.84,3.31,6.53,3.16,2.92
ENSG00000005073,0.0,0.0,0.0,0.0,0.19,0.15,0.09,0.09,0.22
ENSG00000005075,36.01,52.55,46.83,39.85,32.7,31.39,40.11,34.66,33.64
ENSG00000005100,53.2,31.24,22.5,15.73,9.89,8.52,10.22,10.05,9.75
ENSG00000005102,0.06,0.03,0.17,0.61,2.95,0.99,1.02,1.2,0.53
ENSG00000005108,0.27,1.37,0.77,3.5,2.18,2.85,1.94,1.81,1.21
ENSG00000005156,83.71,65.04,73.03,53.87,31.27,24.79,25.84,24.63,23.33
ENSG00000005175,71.68,42.46,31.49,59.83,31.39,37.59,50.18,23.59,26.03
ENSG00000005187,1.91,2.71,9.84,5.66,3.11,6.79,1.61,1.25,1.57
ENSG00000005189,2.66,4.33,5.78,4.39,5.86,5.57,12.9,14.35,7.84
ENSG00000005194,79.4,70.2,68.57,85.82,61.86,63.65,80.81,51.49,44.41
ENSG00000005206,19.44,28.94,45.36,38.21,36.15,28.92,15.88,20.21,24.44
ENSG00000005238,4.69,9.76,11.96,20.85,18.38,22.25,22.96,16.07,12.9
ENSG00000005243,0.42,0.98,1.88,10.54,27.79,45.18,32.56,118.24,153.66
ENSG00000005249,24.93,6.56,5.12,12.58,19.05,21.56,14.13,12.14,13.12
ENSG00000005302,14.55,17.95,20.57,25.84,19.34,28.78,26.98,21.13,18.37
ENSG00000005339,35.47,30.95,31.39,40.79,31.01,27.04,34.96,43.64,48.47
ENSG00000005379,2.88,6.11,20.87,15.22,23.19,11.96,3.1,15.78,12.91
ENSG00000005381,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005421,0.0,0.07,0.0,0.0,0.29,0.0,0.0,0.0,0.0
ENSG00000005436,18.5,17.15,15.8,18.32,16.69,13.39,12.5,12.89,13.69
ENSG00000005448,21.73,26.11,40.4,21.3,14.06,19.07,7.65,8.91,6.8
ENSG00000005469,2.7,2.35,3.8,3.77,4.0,6.19,5.85,6.6,8.47
ENSG00000005471,0.63,1.39,0.78,1.37,3.18,3.7,3.43,2.53,1.89
ENSG00000005483,19.4,29.53,34.85,46.04,40.01,38.06,27.59,39.62,43.11
ENSG00000005486,26.05,40.1,45.95,49.38,45.59,55.7,45.72,37.33,42.25
ENSG00000005513,6.35,1.68,1.03,1.14,3.78,1.92,0.63,0.57,1.04
ENSG00000005700,21.79,17.25,12.02,26.0,22.37,22.68,32.61,24.66,24.16
