Sample,condition,group
19093_13,19093,13
19093_14,19093,14
19093_15,19093,15
19108_0,19108,0
19108_1,19108,1
19108_2,19108,2
19108_3,19108,3
19108_5,19108,5
19108_6,19108,6
19108_7,19108,7
19108_8,19108,8
19108_9,19108,9
19108_10,19108,10
19108_11,19108,11
19108_12,19108,12
19108_13,19108,13
19108_14,19108,14
19108_15,19108,15
19127_0,19127,0
19127_1,19127,1
19127_2,19127,2
19127_3,19127,3
19127_4,19127,4
19127_5,19127,5
19127_6,19127,6
19127_7,19127,7
19127_8,19127,8
19127_9,19127,9
19127_10,19127,10
19127_11,19127,11
19127_12,19127,12
19127_13,19127,13
19127_14,19127,14
19127_15,19127,15
19159_0,19159,0
19159_1,19159,1
19159_2,19159,2
19159_3,19159,3
19159_4,19159,4
19159_5,19159,5
19159_6,19159,6
19159_7,19159,7
19159_8,19159,8
19159_9,19159,9
19159_10,19159,10
19159_11,19159,11
19159_12,19159,12
19159_13,19159,13
19159_14,19159,14
19159_15,19159,15
19190_0,19190,0
19190_1,19190,1
19190_2,19190,2
19190_3,19190,3
19190_4,19190,4
19190_5,19190,5
19190_6,19190,6
19190_7,19190,7
19190_8,19190,8
19190_9,19190,9
19190_10,19190,10
19190_11,19190,11
19190_12,19190,12
19190_13,19190,13
19190_14,19190,14
19190_15,19190,15
19193_0,19193,0
19193_1,19193,1
19193_2,19193,2
19193_3,19193,3
19193_5,19193,5
19193_6,19193,6
19193_7,19193,7
19193_8,19193,8
19193_9,19193,9
19193_10,19193,10
19193_11,19193,11
19193_12,19193,12
19193_13,19193,13
19193_14,19193,14
19193_15,19193,15
19209_0,19209,0
19209_1,19209,1
19209_3,19209,3
19209_4,19209,4
19209_5,19209,5
19209_6,19209,6
19209_7,19209,7
19209_8,19209,8
19209_9,19209,9
19209_10,19209,10
19209_11,19209,11
19209_12,19209,12
19209_14,19209,14
19209_15,19209,15
