gene_id,heart30_0,heart30_2,heart30_4,heart30_6,heart30_10,heart30_15,heart30_20,heart30_40,heart30_60
ENSG00000000003,1292,2655,3575,2786,2021,1504,904,634,597
ENSG00000000005,18,88,55,2,0,5,22,183,383
ENSG00000000419,1347,1130,1107,973,756,770,718,423,555
ENSG00000000457,137,215,341,383,327,264,279,163,182
ENSG00000000460,530,671,606,380,190,60,140,75,41
ENSG00000000938,7,5,5,4,7,3,1,0,2
ENSG00000000971,2,0,2,0,6,69,35,98,1377.71
ENSG00000001036,1375,2378,2127,1876,1553,1021,1935,626,989
ENSG00000001084,1149,992,1152,919,807,886,608,516,612
ENSG00000001167,1013,1228,1812,1260,1146,809,564,533,580
ENSG00000001460,270,335,387,237,299,225,167,112,202
ENSG00000001461,184,148,502,635,897,938,1002,1030,1384
ENSG00000001497,1968,2534,2269,1793,1330,777,682,289,316
ENSG00000001561,222,56,125,212,252,408,279,357,505
ENSG00000001617,514,2069,2479,1362,1383,431,200,117,427
ENSG00000001626,24,4,8,110,76,29,14,1,5
ENSG00000001629,1709,1088,2032,1489,1092,1226,1011,854,1372
ENSG00000001630,3761.7,2236.51,2642.26,2656.84,3369.32,2870.78,3183.12,1711.7,2225.73
ENSG00000001631,1110.46,685.26,1080.5,975.31,955.51,982.46,604.89,447.61,813.29
ENSG00000002016,72,129.06,197.58,196.76,251.81,223.14,196.49,119,153.12
ENSG00000002079,0,0,0,0,1,0,1,0,1
ENSG00000002330,76,330,248,311,521,287,507,357,501
ENSG00000002549,1142,1451,1259,1360,1877,1338,1540,485,516
ENSG00000002586,1698,2169,5220,11828,9385,6053,5088,2092,4684
ENSG00000002587,28,117,61,169,55,10,8,7,5
ENSG00000002726,1,0,1,2,1,0,0,0,18
ENSG00000002745,6,0,9,1,10,2,0,0,1
ENSG00000002746,159,18,13,1,12,22,0,2,1
ENSG00000002822,332,604,519.73,445,447,288,355,236,246
ENSG00000002834,4588,5791,6034,5485,4560,2672,2524,913,5112
ENSG00000002919,197,416,408,409,370,195,496,223,255
ENSG00000002933,2,2,6,52,424,458,364,491,1398
ENSG00000003056,2189,2822,2830,2795,2491,2103,1954,1241,1437
ENSG00000003096,428,267,378,870,538,437,888,787,690
ENSG00000003137,7,12,23,11,56,62,118,81,113
ENSG00000003147,624,228,383,213,369,279,321,205,448
ENSG00000003249,533,408,224,70,113,105,62,98,177
ENSG00000003393,1930,1482,2450,2225,2026,1785,2621,1774,1761
ENSG00000003400,55,216,196,125,71,20,23,5,51
ENSG00000003402,147,393.22,577,565.95,755,1041,871.76,577,902.76
ENSG00000003436,112.02,120.87,1814,1004,883,931,296,119,757
ENSG00000003509,1307,634,700,483,593,568,369,310,397
ENSG00000003756,1315,2434.91,3402,3641.03,4098,3848,2290,1792,2542
ENSG00000003987,312,37,72,15,35,23,10,46,134
ENSG00000003989,858,756,8987,4720,3345,2317,1048,1577,2520
ENSG00000004059,1429,2942.92,2324,2054.29,1679.66,1202,1118.35,675,1020
ENSG00000004139,204.59,390,204.92,277.74,363.05,191.4,246.32,174,248.25
ENSG00000004142,1175,2698,2383,2730,2787,1955,2995,1443,1737
ENSG00000004399,903,3112,3534,1542,3973,1490,703,509,1589
ENSG00000004455,1620,2432.66,2080,1838.1,3120.33,2883,1950.68,1649.26,2017.42
ENSG00000004468,9,6,17,7,11,10,6,1,19
ENSG00000004478,6771,8374,5285,3304,5073,3469,4227,2246,2149
ENSG00000004487,9788,11039,10513,8158,8294,4482,3229,2092,2636
ENSG00000004534,2522,2857.09,3105,3024.97,2370,2147,1772,1020,1385
ENSG00000004660,92,115,146,119,268,219,76,207,568
ENSG00000004700,1493,1126,1782,1089,748,623,512,283,740
ENSG00000004766,292,190,346,462,480,594,547,453.05,465
ENSG00000004776,11,5,3,5,13,38,32,99,319
ENSG00000004777,409,504,474,518,508,293,312,257,324
ENSG00000004779,833,1431,1131,1314,1849,1298,1627,1052,941
ENSG00000004799,5,6,1,13,16,11,8,9,171
ENSG00000004809,0,0,0,0,0,2,0,1,1
ENSG00000004838,2,6,11,13,13,2,4,9,6
ENSG00000004846,0,0,0,0,0,0,0,0,0
ENSG00000004848,0,3,0,1,0,0,0,0,0
ENSG00000004864,2457,4076,2573,2224,1594,1177,1120,670,265
ENSG00000004866,384,244,372.01,1788.39,2075.17,1865.49,1047.28,832.02,847.63
ENSG00000004897,2629,1398,2460.85,2997,2501,2669,2880,1645.9,2104
ENSG00000004939,0,2,0,0,2,0,0,0,0
