Sample,condition,group
rep1_d_13,rep1,13
rep1_d_20,rep1,20
rep1_d_30,rep1,30
rep2_d_13,rep2,13
rep2_d_20,rep2,20
rep2_d_30,rep2,30
rep3_d_13,rep3,13
rep3_d_20,rep3,20
rep3_d_30,rep3,30
