gene_id,rep1_d_13,rep1_d_20,rep1_d_30
ENSG00000162408.11,434,531,978
ENSG00000229519.2,11,1,10
ENSG00000173662.21,2,1,2
ENSG00000204859.13,341,299,386
ENSG00000162413.16,1134,3776,3710
ENSG00000116273.6,1125,1122,1332
ENSG00000041988.15,245,225,182
ENSG00000007923.16,827,989,1073
ENSG00000237436.1,17,25,11
ENSG00000171735.19,892,733,879
ENSG00000237402.1,0,0,1
ENSG00000270171.1,2,3,0
ENSG00000270035.1,4,3,0
ENSG00000269978.1,7,1,0
ENSG00000049245.13,1370,2279,1851
ENSG00000269925.1,4,15,15
ENSG00000049246.14,157,80,221
ENSG00000236266.1,1,0,1
ENSG00000049247.14,0,1,0
ENSG00000049249.9,15,265,21
ENSG00000116288.13,2976,2693,3837
ENSG00000284747.1,6,5,3
ENSG00000116285.13,1808,2726,1050
ENSG00000238290.1,5,2,0
ENSG00000232848.1,1,0,0
ENSG00000227634.3,0,3,3
ENSG00000162426.15,8,91,52
ENSG00000252254.1,0,1,0
ENSG00000142599.19,4020,5987,5651
ENSG00000232912.6,4,0,2
ENSG00000221083.1,1,0,0
ENSG00000224315.2,2,0,0
ENSG00000226545.1,1,0,0
ENSG00000228423.2,1,0,0
ENSG00000074800.16,20256,17416,16367
ENSG00000230679.1,7,3,3
ENSG00000142583.18,0,7,9
ENSG00000252404.1,0,0,1
ENSG00000180758.12,304,264,197
ENSG00000228526.7,166,396,47
ENSG00000234546.4,15,54,5
ENSG00000049239.13,1690,1814,4415
ENSG00000171621.14,429,832,920
ENSG00000284652.1,4,2,3
ENSG00000284693.1,4,15,19
ENSG00000171612.7,323,277,260
ENSG00000231181.1,4,1,1
ENSG00000188807.13,596,543,704
ENSG00000171608.16,257,414,248
ENSG00000179840.5,0,1,0
ENSG00000231789.2,72,62,31
ENSG00000171603.18,2903,4332,4958
ENSG00000280113.2,0,0,1
ENSG00000178585.15,1639,1273,1314
ENSG00000285701.1,5,0,10
ENSG00000162441.12,730,833,1628
ENSG00000228150.1,16,15,10
ENSG00000173614.14,241,234,469
ENSG00000202415.1,2,6,13
ENSG00000283611.2,5,2,14
ENSG00000265521.1,0,4,1
ENSG00000162444.12,47,83,20
ENSG00000130939.20,1592,1865,3509
ENSG00000201746.1,1,0,5
ENSG00000054523.18,3393,3098,6535
ENSG00000199562.1,1,0,0
ENSG00000284735.1,24,7,13
ENSG00000284642.1,22,13,8
ENSG00000142657.21,3668,3072,4400
ENSG00000271989.1,1,4,0
ENSG00000251503.8,4,3,5
ENSG00000175279.22,36,24,24
ENSG00000241563.4,12,9,16
ENSG00000160049.12,1856,1323,2028
ENSG00000142655.13,573,668,686
ENSG00000287727.1,5,5,10
ENSG00000243267.3,0,0,3
ENSG00000130940.15,496,1345,3331
ENSG00000272078.1,27,35,60
ENSG00000175262.14,4,10,43
ENSG00000215785.2,2,0,2
ENSG00000120948.18,2374,1809,1981
ENSG00000009724.17,87,66,85
ENSG00000271895.2,45,38,45
ENSG00000116649.10,772,1836,931
ENSG00000171824.14,1148,853,928
ENSG00000226849.1,5,0,2
ENSG00000230337.1,2,7,0
ENSG00000198793.13,1520,2033,3349
ENSG00000225602.5,0,0,2
ENSG00000171819.5,6,26,14
ENSG00000207451.1,1,0,1
ENSG00000120942.14,437,450,604
ENSG00000238199.1,5,2,3
ENSG00000284646.1,3,0,0
ENSG00000204624.8,121,7,16
ENSG00000284708.1,2,6,1
ENSG00000116661.11,384,1055,473
ENSG00000132879.14,394,539,331
ENSG00000116663.11,80,58,46
ENSG00000116670.15,1111,528,565
ENSG00000162490.7,351,11,28
ENSG00000177674.16,570,457,424
ENSG00000215910.7,3,2,0
ENSG00000177553.6,0,1,0
ENSG00000177000.13,608,1025,2106
ENSG00000011021.23,844,1044,1070
ENSG00000175206.10,1616,33183,9802
ENSG00000120937.9,4868,24279,2289
ENSG00000224904.1,0,1,0
ENSG00000285646.2,8,29,15
ENSG00000116685.16,1163,1943,2169
ENSG00000083444.17,1919,5383,6256
ENSG00000287384.1,0,3,4
ENSG00000116688.18,3328,5534,6791
ENSG00000116691.11,616,564,358
ENSG00000202461.1,3,6,4
ENSG00000120949.15,4,2,13
ENSG00000028137.19,28,9,22
ENSG00000048707.15,864,1043,4465
ENSG00000239149.1,2,4,11
ENSG00000162496.9,372,1213,4193
ENSG00000221340.1,1,2,14
ENSG00000276830.1,0,0,16
ENSG00000272482.1,6,41,273
ENSG00000204518.2,0,0,1
ENSG00000157330.10,4,0,0
ENSG00000179172.10,1,0,0
ENSG00000237700.2,1,0,0
ENSG00000162494.6,0,3,1
ENSG00000162493.16,383,2454,1375
ENSG00000116731.22,968,1281,1605
ENSG00000189337.17,489,838,360
ENSG00000235829.1,2,0,0
ENSG00000287756.1,1,0,3
ENSG00000175147.13,58,31,110
ENSG00000171729.14,287,260,440
ENSG00000204464.7,0,3,8
ENSG00000215720.4,0,0,2
ENSG00000142621.19,39,5,13
ENSG00000233485.1,1,0,0
ENSG00000228140.2,6,0,0
ENSG00000142634.13,467,319,451
ENSG00000162438.12,4,0,1
ENSG00000142615.8,2,3,0
ENSG00000215704.10,3,0,6
ENSG00000132906.18,349,394,551
ENSG00000116138.13,435,663,1149
ENSG00000116771.6,74,11,11
ENSG00000237301.1,5,1,1
ENSG00000235084.3,2,3,5
ENSG00000197312.12,1107,674,1160
ENSG00000116786.13,1719,2289,3381
ENSG00000237938.5,20,5,43
ENSG00000162461.8,30,21,27
ENSG00000162460.7,9,0,0
ENSG00000162458.13,1590,4558,4167
ENSG00000224321.1,0,1,2
ENSG00000233954.6,114,56,107
ENSG00000178715.8,6,5,0
ENSG00000179743.4,247,152,198
ENSG00000065526.12,1859,1621,2738
ENSG00000270620.1,0,0,1
ENSG00000116809.12,504,517,658
ENSG00000234607.2,1,0,11
ENSG00000183888.4,15,0,2
ENSG00000173641.17,8760,18485,70574
ENSG00000186510.12,99,44,62
ENSG00000232456.1,8,3,2
ENSG00000184908.18,250,179,252
ENSG00000185519.9,49,35,49
ENSG00000142627.13,1697,6075,1940
ENSG00000227959.1,15,10,15
ENSG00000224621.1,0,6,7
ENSG00000142632.17,483,87,53
ENSG00000237276.8,6,2,19
ENSG00000288398.1,84,132,334
ENSG00000132881.12,58,86,257
ENSG00000233929.1,2,0,0
ENSG00000037637.11,546,804,954
ENSG00000055070.17,1736,3766,3928
ENSG00000226457.1,0,0,3
ENSG00000157191.20,815,936,604
ENSG00000226029.1,27,15,63
ENSG00000080947.15,246,129,360
ENSG00000206652.1,0,0,1
