gene_id,rep2_d_13,rep2_d_20,rep2_d_30
ENSG00000227232.5,68,68,59
ENSG00000278267.1,0,10,5
ENSG00000233750.3,3,2,1
ENSG00000268903.1,13,57,13
ENSG00000269981.1,12,79,21
ENSG00000239906.1,3,6,0
ENSG00000241860.7,3,8,6
ENSG00000279928.2,1,0,0
ENSG00000279457.4,125,92,88
ENSG00000228463.10,3,1,1
ENSG00000236679.2,3,0,1
ENSG00000237094.12,9,69,21
ENSG00000233653.3,0,0,1
ENSG00000250575.1,1,3,0
ENSG00000278757.1,0,1,0
ENSG00000230021.10,5,17,1
ENSG00000225972.1,6,2,7
ENSG00000225630.1,2618,2537,3826
ENSG00000237973.1,771,915,3648
ENSG00000229344.1,1,7,7
ENSG00000248527.1,3577,11554,15769
ENSG00000198744.5,3,5,20
ENSG00000229376.3,2,3,1
ENSG00000228327.3,47,112,89
ENSG00000237491.10,13,22,14
ENSG00000230092.7,3,2,2
ENSG00000177757.2,0,3,1
ENSG00000228794.10,434,445,578
ENSG00000225880.5,19,15,5
ENSG00000230368.2,0,1,0
ENSG00000272438.1,3,11,9
ENSG00000230699.2,6,69,59
ENSG00000241180.1,1,0,0
ENSG00000223764.2,59,240,137
ENSG00000187634.12,104,149,401
ENSG00000188976.11,2666,1201,2672
ENSG00000187961.14,191,176,192
ENSG00000187583.11,17,3,11
ENSG00000187642.9,3,0,5
ENSG00000272512.1,27,63,29
ENSG00000188290.11,778,1425,1330
ENSG00000187608.10,540,365,743
ENSG00000231702.2,0,0,3
ENSG00000224969.1,1,10,6
ENSG00000188157.15,5852,19754,19555
ENSG00000217801.10,26,18,14
ENSG00000273443.1,4,0,1
ENSG00000237330.3,1,1,1
ENSG00000131591.17,248,247,294
ENSG00000285812.1,3,8,17
ENSG00000207730.3,3,0,0
ENSG00000207607.3,1,0,0
ENSG00000272141.1,4,0,0
ENSG00000162571.14,0,0,1
ENSG00000186891.14,2,2,4
ENSG00000186827.11,0,0,1
ENSG00000078808.18,2572,3715,4045
ENSG00000176022.7,780,1089,1603
ENSG00000184163.3,16,28,36
ENSG00000260179.1,2,7,3
ENSG00000160087.21,1105,905,1664
ENSG00000230415.1,3,10,14
ENSG00000162572.21,31,64,49
ENSG00000131584.19,927,1140,1780
ENSG00000169972.12,268,198,367
ENSG00000127054.21,1049,953,1475
ENSG00000240731.1,15,27,45
ENSG00000224051.7,310,484,678
ENSG00000169962.5,16,12,18
ENSG00000107404.20,929,738,1628
ENSG00000162576.17,976,1223,3060
ENSG00000175756.13,2139,955,1906
