gene_id,rep3_d_13,rep3_d_20,rep3_d_30
ENSG00000223972.5,1,0,0
ENSG00000227232.5,127,17,19
ENSG00000278267.1,8,3,6
ENSG00000243485.5,0,1,1
ENSG00000238009.6,2,0,1
ENSG00000233750.3,6,3,4
ENSG00000268903.1,23,13,8
ENSG00000269981.1,48,18,9
ENSG00000239906.1,0,2,2
ENSG00000241860.7,5,5,1
ENSG00000279457.4,202,70,87
ENSG00000228463.10,3,0,3
ENSG00000236679.2,5,4,0
ENSG00000237094.12,45,5,20
ENSG00000250575.1,1,0,0
ENSG00000278757.1,1,0,0
ENSG00000230021.10,11,5,10
ENSG00000225972.1,1,2,5
ENSG00000225630.1,1892,2797,3232
ENSG00000237973.1,1054,641,2931
ENSG00000229344.1,5,8,11
ENSG00000248527.1,3376,9386,10938
ENSG00000198744.5,2,5,14
ENSG00000229376.3,0,1,1
ENSG00000228327.3,156,38,58
ENSG00000237491.10,46,6,27
ENSG00000230092.7,1,1,5
ENSG00000177757.2,6,2,3
ENSG00000228794.10,616,329,635
ENSG00000225880.5,38,3,5
ENSG00000288531.1,4,0,4
ENSG00000230368.2,2,0,1
ENSG00000272438.1,48,3,6
ENSG00000230699.2,221,7,6
ENSG00000241180.1,2,0,0
ENSG00000223764.2,534,15,38
ENSG00000187634.12,1466,40,86
ENSG00000188976.11,1856,1210,1499
ENSG00000187961.14,422,140,63
ENSG00000187583.11,24,5,7
ENSG00000187642.9,3,1,0
ENSG00000272512.1,55,21,3
ENSG00000188290.11,1714,1082,268
ENSG00000187608.10,362,514,230
ENSG00000231702.2,0,0,3
ENSG00000224969.1,11,1,3
ENSG00000188157.15,10759,11634,9644
ENSG00000217801.10,71,12,8
ENSG00000273443.1,2,0,0
ENSG00000237330.3,16,4,1
ENSG00000131591.17,278,150,119
ENSG00000285812.1,12,1,19
ENSG00000223823.1,2,0,0
ENSG00000207730.3,4,0,0
ENSG00000272141.1,0,1,0
ENSG00000205231.1,4,0,0
ENSG00000162571.14,7,0,0
ENSG00000186891.14,12,1,0
ENSG00000186827.11,5,0,0
ENSG00000078808.18,2475,3101,1802
ENSG00000176022.7,1090,970,754
ENSG00000184163.3,94,16,28
ENSG00000260179.1,12,3,0
ENSG00000160087.21,1203,953,777
ENSG00000230415.1,34,6,14
ENSG00000162572.21,204,26,48
ENSG00000131584.19,1286,1096,964
ENSG00000169972.12,255,202,166
ENSG00000127054.21,1636,862,1044
ENSG00000240731.1,31,10,10
ENSG00000224051.7,353,510,369
ENSG00000169962.5,22,7,9
ENSG00000107404.20,1587,666,793
ENSG00000162576.17,3365,833,467
ENSG00000175756.13,1648,1374,1211
ENSG00000223663.2,0,0,1
ENSG00000221978.12,4427,1578,985
ENSG00000224870.7,414,212,155
ENSG00000242485.6,1229,782,729
ENSG00000272455.1,162,43,24
ENSG00000235098.8,39,2,0
ENSG00000225905.1,3,0,0
ENSG00000205116.3,20,2,1
ENSG00000225285.1,41,4,11
ENSG00000179403.12,560,151,149
ENSG00000215915.10,6,0,2
ENSG00000160072.20,608,403,302
ENSG00000284740.1,10,3,8
ENSG00000197785.14,850,653,681
ENSG00000205090.9,193,53,91
ENSG00000160075.12,1941,1986,1641
ENSG00000215014.5,35,18,13
ENSG00000228594.4,298,236,304
ENSG00000286989.1,13,5,7
ENSG00000272106.1,303,199,179
ENSG00000197530.12,1489,985,1501
ENSG00000189409.14,100,45,137
ENSG00000248333.8,926,552,760
ENSG00000272004.1,4,0,5
ENSG00000189339.12,1966,917,1186
ENSG00000269737.2,29,9,30
ENSG00000215914.4,14,22,7
ENSG00000008128.23,21,11,13
ENSG00000268575.1,48,17,43
ENSG00000227775.3,20,3,5
ENSG00000215790.7,296,139,202
ENSG00000008130.15,1213,581,411
ENSG00000078369.18,7935,8065,4268
ENSG00000231050.1,15,13,5
ENSG00000169885.10,2,1,0
ENSG00000178821.13,47,11,1
ENSG00000142609.18,28,0,0
ENSG00000233542.2,6,0,0
ENSG00000187730.9,10,0,0
ENSG00000226969.1,0,1,0
ENSG00000067606.17,441,564,514
ENSG00000271806.1,6,3,7
ENSG00000182873.5,81,36,61
ENSG00000162585.17,1326,1114,751
ENSG00000234396.3,1,4,1
ENSG00000157933.10,2605,2248,1667
ENSG00000287356.1,145,53,40
ENSG00000116151.14,273,87,150
ENSG00000272161.1,3,0,0
ENSG00000269896.2,84,10,11
ENSG00000272420.1,3,8,5
ENSG00000157916.20,1122,1225,777
ENSG00000157911.11,537,305,220
ENSG00000149527.18,48,8,16
ENSG00000157881.16,711,450,721
ENSG00000197921.6,83,0,0
ENSG00000272449.2,28,0,3
ENSG00000238164.6,3,0,0
ENSG00000157873.17,3,0,0
ENSG00000228037.1,3,0,0
ENSG00000157870.17,954,410,368
ENSG00000142606.16,14,1,0
ENSG00000215912.12,52,5,18
ENSG00000177133.11,303,26,791
ENSG00000142611.17,578,88,1367
ENSG00000283572.1,0,0,1
ENSG00000226286.1,4,0,4
ENSG00000279839.1,0,0,8
ENSG00000272235.1,3,4,32
ENSG00000287828.1,4,19,35
ENSG00000286518.1,4,2,15
ENSG00000130762.15,219,110,47
ENSG00000272088.1,3,2,0
ENSG00000162591.16,2066,2745,949
ENSG00000207776.1,0,2,0
ENSG00000238260.1,8,1,0
ENSG00000158109.15,495,1058,680
ENSG00000116213.16,351,129,102
ENSG00000078900.15,33,3,5
ENSG00000227589.1,1,0,0
ENSG00000227372.12,1269,661,602
ENSG00000162592.10,44,31,40
ENSG00000235169.10,163,104,128
ENSG00000130764.10,1479,1279,1490
ENSG00000266075.2,1,0,2
ENSG00000272153.1,18,12,14
ENSG00000116198.14,524,348,521
ENSG00000169598.17,103,70,44
ENSG00000198912.11,365,225,109
ENSG00000236423.6,6,5,11
ENSG00000235054.4,1,0,0
ENSG00000284694.1,1,0,0
ENSG00000232596.3,2,0,0
ENSG00000196581.11,107,5,0
ENSG00000287586.1,2,0,0
ENSG00000236948.2,2,0,0
ENSG00000131697.18,587,106,72
ENSG00000069424.15,333,34,29
ENSG00000116254.18,26,5,1
ENSG00000116251.11,3136,1756,1376
ENSG00000226944.1,9,19,7
ENSG00000158286.13,962,1422,2017
ENSG00000116237.16,1823,1577,1501
ENSG00000225077.3,9,5,6
ENSG00000173673.8,2,0,0
ENSG00000158292.7,628,287,338
ENSG00000097021.19,814,1130,338
ENSG00000069812.11,3,0,0
ENSG00000187017.17,21,7,0
ENSG00000215788.11,244,225,79
ENSG00000171680.23,1073,2153,356
ENSG00000162408.11,478,358,516
ENSG00000229519.2,6,3,4
ENSG00000173662.21,2,1,10
ENSG00000204859.13,323,143,218
ENSG00000162413.16,1500,5138,2676
ENSG00000116273.6,1331,955,713
ENSG00000041988.15,273,129,142
ENSG00000007923.16,699,800,866
ENSG00000237436.1,44,6,8
ENSG00000171735.19,1446,822,736
ENSG00000237402.1,0,1,1
ENSG00000237728.2,2,0,0
ENSG00000270171.1,23,0,0
ENSG00000270035.1,8,0,0
ENSG00000269978.1,24,0,0
ENSG00000049245.13,1539,1851,1095
ENSG00000269925.1,10,9,7
ENSG00000049246.14,214,50,130
ENSG00000236266.1,4,0,0
ENSG00000049247.14,4,1,0
ENSG00000049249.9,44,158,10
ENSG00000116288.13,3149,2404,2532
ENSG00000200344.1,0,1,0
ENSG00000284747.1,5,1,2
ENSG00000284716.1,0,1,0
ENSG00000116285.13,1298,1676,259
ENSG00000238290.1,7,1,0
ENSG00000229305.1,1,0,0
ENSG00000227634.3,1,0,0
ENSG00000162426.15,33,30,9
ENSG00000142599.19,4511,4722,3034
ENSG00000232912.6,4,1,8
ENSG00000221083.1,2,0,0
ENSG00000270282.1,1,0,0
ENSG00000224315.2,0,0,1
ENSG00000226545.1,4,0,0
ENSG00000228423.2,2,0,0
ENSG00000074800.16,21851,11892,9158
ENSG00000230679.1,6,0,4
ENSG00000201725.1,0,0,1
ENSG00000238249.2,6,0,3
ENSG00000131686.15,2,0,0
ENSG00000142583.18,6,2,0
ENSG00000180758.12,384,273,175
ENSG00000228526.7,96,156,22
ENSG00000234546.4,23,28,13
ENSG00000049239.13,2500,935,1797
ENSG00000171621.14,735,666,74
ENSG00000284652.1,3,0,2
ENSG00000284693.1,21,12,8
ENSG00000171612.7,363,263,143
ENSG00000231181.1,7,1,3
ENSG00000188807.13,705,405,417
ENSG00000171608.16,307,188,181
ENSG00000233268.3,1,0,0
ENSG00000231789.2,116,53,24
ENSG00000171603.18,4410,2854,2469
ENSG00000178585.15,2388,1415,1040
ENSG00000285701.1,4,0,12
ENSG00000162441.12,859,731,929
ENSG00000228150.1,8,5,15
ENSG00000173614.14,210,254,296
ENSG00000202415.1,8,3,8
ENSG00000283611.2,2,0,7
ENSG00000162444.12,83,76,36
ENSG00000130939.20,1978,1539,2001
ENSG00000201746.1,1,1,0
ENSG00000054523.18,3997,2700,3872
ENSG00000284735.1,25,3,17
ENSG00000284642.1,29,3,8
ENSG00000142657.21,4473,2244,2776
ENSG00000271989.1,0,4,0
ENSG00000251503.8,5,0,4
ENSG00000175279.22,35,8,17
ENSG00000241563.4,6,8,6
ENSG00000160049.12,1392,890,1007
ENSG00000142655.13,572,530,393
ENSG00000287727.1,3,2,13
ENSG00000243267.3,4,0,0
ENSG00000130940.15,1563,1619,2623
ENSG00000272078.1,67,38,68
ENSG00000175262.14,6,7,14
ENSG00000215785.2,1,0,0
ENSG00000120948.18,2148,1168,1002
ENSG00000009724.17,67,26,49
ENSG00000271895.2,48,15,18
ENSG00000116649.10,788,1167,378
ENSG00000171824.14,1205,583,398
ENSG00000226849.1,3,1,1
ENSG00000230337.1,6,9,4
ENSG00000198793.13,2035,1512,2087
ENSG00000225602.5,2,0,0
ENSG00000171819.5,65,103,30
ENSG00000120942.14,487,300,269
ENSG00000238199.1,5,1,3
ENSG00000284646.1,12,0,0
ENSG00000204624.8,330,0,1
ENSG00000235643.2,0,1,0
ENSG00000284708.1,4,1,1
ENSG00000116661.11,329,563,224
ENSG00000132879.14,539,403,311
ENSG00000116663.11,98,47,59
ENSG00000116670.15,1302,418,295
ENSG00000162490.7,1579,6,2
ENSG00000177674.16,779,315,248
ENSG00000215910.7,4,0,0
ENSG00000177000.13,787,1077,1280
ENSG00000011021.23,946,876,659
ENSG00000175206.10,14486,126274,8010
ENSG00000120937.9,9069,94053,1872
ENSG00000224904.1,0,8,0
ENSG00000285646.2,14,16,5
ENSG00000116685.16,1470,1787,1336
ENSG00000083444.17,2095,4544,2919
ENSG00000287384.1,0,7,1
ENSG00000116688.18,3854,7157,5343
ENSG00000270914.1,1,0,0
ENSG00000116691.11,648,535,196
ENSG00000202461.1,2,0,6
ENSG00000120949.15,1,1,0
ENSG00000201135.1,1,0,0
ENSG00000028137.19,73,4,11
ENSG00000048707.15,909,720,1555
ENSG00000239149.1,1,2,4
ENSG00000162496.9,169,461,591
ENSG00000221340.1,0,0,1
ENSG00000272482.1,2,11,14
ENSG00000188984.12,1,0,0
ENSG00000157330.10,2,0,0
ENSG00000179172.10,1,0,0
ENSG00000243073.4,1,0,0
ENSG00000187545.5,1,0,0
ENSG00000204479.4,3,0,0
ENSG00000162494.6,5,18,0
ENSG00000162493.16,806,2730,1066
ENSG00000237445.2,2,0,0
ENSG00000116731.22,1109,918,834
ENSG00000189337.17,1057,630,192
ENSG00000235829.1,1,0,1
ENSG00000287756.1,5,0,1
ENSG00000175147.13,26,4,32
ENSG00000171729.14,246,120,212
ENSG00000204464.7,2,0,2
ENSG00000215720.4,3,0,0
ENSG00000278480.1,1,0,0
ENSG00000142621.19,44,4,13
ENSG00000233485.1,2,0,0
ENSG00000228140.2,2,0,0
ENSG00000142634.13,551,216,199
ENSG00000162438.12,2,0,0
ENSG00000142615.8,1,0,0
ENSG00000215704.10,10,1,0
ENSG00000132906.18,443,340,466
ENSG00000116138.13,372,455,613
ENSG00000116771.6,37,2,15
ENSG00000237301.1,5,4,2
ENSG00000235084.3,2,3,3
ENSG00000197312.12,1085,415,664
ENSG00000116786.13,2062,1851,1900
ENSG00000237938.5,32,5,12
ENSG00000162461.8,35,7,13
ENSG00000162460.7,5,0,0
ENSG00000162458.13,1521,3218,2171
ENSG00000224321.1,5,0,1
ENSG00000233954.6,130,100,120
ENSG00000178715.8,10,4,1
ENSG00000179743.4,401,175,116
ENSG00000065526.12,2432,887,1240
ENSG00000116809.12,615,377,424
ENSG00000234607.2,0,0,1
ENSG00000173641.17,10819,27691,50098
ENSG00000186510.12,88,46,27
ENSG00000232456.1,5,3,4
ENSG00000184908.18,410,242,372
ENSG00000185519.9,59,52,29
ENSG00000142627.13,2248,4671,994
ENSG00000227959.1,9,8,13
ENSG00000224621.1,3,1,7
ENSG00000142632.17,191,34,7
ENSG00000237276.8,7,10,12
ENSG00000288398.1,123,141,196
ENSG00000132881.12,101,67,245
ENSG00000233929.1,0,1,0
ENSG00000037637.11,636,569,484
ENSG00000055070.17,2218,3100,2186
ENSG00000226457.1,0,0,1
ENSG00000187144.11,1,1,0
ENSG00000157191.20,724,414,149
ENSG00000226029.1,37,13,18
ENSG00000080947.15,268,60,163
ENSG00000206652.1,2,0,0
ENSG00000261135.1,4,1,0
ENSG00000233421.4,11,3,6
ENSG00000225710.1,1,0,0
ENSG00000219481.10,404,228,444
ENSG00000271732.1,4,0,0
ENSG00000215908.10,549,132,121
ENSG00000186301.8,30,7,3
ENSG00000280114.1,3,0,0
ENSG00000236698.1,157,97,105
ENSG00000268869.6,29,4,1
ENSG00000279151.1,2,0,0
ENSG00000282740.1,1,0,0
ENSG00000058453.17,1451,164,167
ENSG00000227684.2,5,0,2
ENSG00000186715.11,29,10,4
ENSG00000228549.4,57,27,40
ENSG00000238142.2,52,20,9
ENSG00000272426.1,6,0,0
ENSG00000117122.14,1581,265,350
ENSG00000286898.1,2,0,0
ENSG00000159363.19,880,608,605
ENSG00000117118.10,818,1044,806
ENSG00000117115.13,38,128,9
ENSG00000204362.6,3,4,0
ENSG00000142623.11,29,28,13
ENSG00000142619.4,15,1,2
ENSG00000266634.1,1,0,0
ENSG00000179051.14,3907,1410,851
ENSG00000074964.17,1109,1183,1142
ENSG00000117154.12,11,0,0
ENSG00000280222.1,1,0,0
ENSG00000225387.1,6,0,3
ENSG00000179023.8,118,13,22
ENSG00000225478.2,1,0,0
ENSG00000009709.12,351,0,0
ENSG00000159423.17,1360,1223,2106
ENSG00000169991.11,657,787,186
ENSG00000272084.1,14,5,7
ENSG00000127481.15,4881,3625,12926
ENSG00000230424.1,17,2,17
ENSG00000127463.15,1451,1513,1091
ENSG00000053372.5,889,473,320
ENSG00000286064.1,7,11,5
ENSG00000211454.15,10,3,1
ENSG00000162482.5,15,6,7
ENSG00000270728.1,63,17,28
ENSG00000053371.12,1084,513,537
ENSG00000200403.1,3,1,0
ENSG00000040487.13,420,314,253
ENSG00000077549.19,3722,3585,3350
ENSG00000173436.15,90,91,90
ENSG00000158747.15,168,71,31
ENSG00000270136.6,5,0,0
ENSG00000226396.1,21,1,5
ENSG00000158748.4,9,0,0
ENSG00000162542.13,53,22,51
ENSG00000169914.6,599,388,263
ENSG00000242688.3,2,0,0
ENSG00000225986.1,11,0,0
ENSG00000162543.6,83,29,20
ENSG00000158816.15,21,0,0
ENSG00000236963.7,5,0,1
ENSG00000162545.6,419,64,36
ENSG00000090432.7,720,700,768
ENSG00000183114.8,35,27,13
ENSG00000158825.6,3,2,0
ENSG00000158828.8,637,668,1223
ENSG00000117242.7,67,117,71
ENSG00000244038.11,4113,6197,2409
ENSG00000117245.12,220,40,20
ENSG00000235432.1,1,0,0
ENSG00000189410.12,110,11,2
ENSG00000127483.19,4394,2079,1491
ENSG00000075151.20,2623,2630,2269
ENSG00000235112.1,0,0,1
ENSG00000287192.1,2,0,1
ENSG00000117298.16,3781,3553,2826
ENSG00000236936.1,4,6,0
ENSG00000231105.2,9,1,2
ENSG00000227001.3,15,7,3
ENSG00000187952.9,6,22,5
ENSG00000186543.7,3,0,0
ENSG00000142794.18,301,153,173
ENSG00000176378.8,2,0,0
ENSG00000162551.14,659,80,15
ENSG00000076864.19,305,248,275
ENSG00000090686.16,1223,1178,1336
ENSG00000187942.12,4,2,10
ENSG00000142798.20,8585,29287,24986
ENSG00000232037.3,1,0,1
ENSG00000283234.1,0,1,0
ENSG00000219073.8,2,0,0
ENSG00000278124.1,2,0,0
ENSG00000228397.3,3,1,2
ENSG00000218510.8,63,20,34
ENSG00000070831.17,5067,4913,4499
ENSG00000285752.1,12,8,4
ENSG00000230068.2,1,0,4
ENSG00000271428.1,4,1,1
ENSG00000162552.15,96,124,6
ENSG00000285873.1,3,5,0
ENSG00000184677.18,718,397,556
ENSG00000237200.1,3,1,3
ENSG00000070886.12,8,2,1
ENSG00000133216.16,1788,736,672
ENSG00000264014.1,1,0,0
ENSG00000227868.6,1,0,0
ENSG00000004487.17,4751,2044,2041
ENSG00000240553.1,0,2,0
ENSG00000169641.13,1723,2044,1993
ENSG00000229010.1,1,0,0
ENSG00000206935.1,1,0,0
ENSG00000252578.1,0,0,2
ENSG00000179546.4,4,4,0
ENSG00000261326.4,154,48,52
ENSG00000284726.1,23,1,11
ENSG00000125944.21,5615,2797,2048
ENSG00000125945.15,539,774,1655
ENSG00000249087.7,239,41,89
ENSG00000271420.1,4,0,15
ENSG00000204219.11,746,338,1140
ENSG00000232482.2,0,0,4
ENSG00000088280.19,1402,859,1259
ENSG00000007968.7,289,67,76
ENSG00000235052.1,2,0,0
ENSG00000117318.9,4933,1019,262
ENSG00000285802.1,2,5,3
ENSG00000197880.9,8,0,0
ENSG00000229239.2,4,0,0
ENSG00000142676.14,12786,8322,7647
ENSG00000236810.6,43,8,30
ENSG00000011007.12,875,779,761
ENSG00000057757.10,897,507,471
ENSG00000011009.11,1471,982,646
ENSG00000117308.15,700,589,388
ENSG00000117305.15,673,311,267
ENSG00000179163.12,265,296,169
ENSG00000188822.8,2,0,0
ENSG00000229106.1,1,0,0
ENSG00000230228.2,0,1,0
ENSG00000189266.13,2346,929,1025
ENSG00000188529.15,3221,1867,1654
ENSG00000215905.4,2,0,0
ENSG00000225315.2,1,0,2
ENSG00000142661.19,5,31,31
ENSG00000142677.4,0,1,0
ENSG00000185436.12,143,127,207
ENSG00000158055.16,15,3,0
ENSG00000001460.18,161,72,80
ENSG00000001461.17,472,1337,896
ENSG00000117602.12,138,191,128
ENSG00000184454.7,3,0,6
ENSG00000133226.17,2954,1634,1147
ENSG00000169504.15,7681,10310,17399
ENSG00000020633.19,8,0,2
ENSG00000261025.1,0,1,0
ENSG00000233755.1,1,0,0
ENSG00000117614.10,874,464,502
ENSG00000284602.1,46,8,14
ENSG00000284657.1,12,2,5
ENSG00000117616.18,1154,662,385
ENSG00000272432.1,8,8,7
ENSG00000261349.1,23,8,21
ENSG00000187010.21,20,14,7
ENSG00000224183.1,21,8,18
ENSG00000259984.1,0,10,3
ENSG00000183726.11,2296,2121,966
ENSG00000188672.19,40,30,16
ENSG00000238084.4,0,2,5
ENSG00000204178.11,469,599,379
ENSG00000157978.12,323,208,269
ENSG00000225643.1,9,1,1
ENSG00000117643.14,638,578,2260
ENSG00000233478.1,0,0,4
ENSG00000162430.17,3156,2689,3055
ENSG00000228172.5,7,17,12
ENSG00000117640.18,1121,1735,1341
ENSG00000127423.11,122,72,24
ENSG00000236528.1,0,1,0
ENSG00000182749.6,216,123,224
ENSG00000207302.1,1,0,0
ENSG00000117632.23,8490,8182,3536
ENSG00000223624.1,3,1,2
ENSG00000158006.14,217,331,198
ENSG00000158008.10,167,1433,635
ENSG00000158014.15,23,97,24
ENSG00000284309.1,0,1,1
ENSG00000158022.7,537,1408,3237
ENSG00000175087.10,214,143,118
ENSG00000197245.6,219,189,103
ENSG00000282872.2,11,4,0
ENSG00000236782.7,17,10,5
ENSG00000142675.18,180,152,72
ENSG00000188782.9,8,0,1
ENSG00000236155.6,18,4,15
ENSG00000130695.15,811,452,476
ENSG00000270733.1,0,3,1
ENSG00000142669.15,596,1056,116
ENSG00000158062.20,527,114,107
ENSG00000169442.9,6,0,0
ENSG00000176092.15,95,9,3
ENSG00000131914.11,5387,174,0
ENSG00000117682.17,678,789,489
ENSG00000223583.1,3,4,3
ENSG00000225891.2,14,3,0
ENSG00000198830.11,7320,2630,3336
ENSG00000117676.14,506,193,138
ENSG00000243905.3,1,0,0
ENSG00000252802.1,1,0,0
ENSG00000260063.1,22,38,15
ENSG00000117713.20,5104,3641,5738
ENSG00000060642.11,187,51,72
ENSG00000241188.3,1,0,0
ENSG00000204160.12,774,477,331
ENSG00000175793.12,20,3,8
ENSG00000142751.15,615,639,469
ENSG00000198746.13,258,157,176
ENSG00000090273.14,1984,1326,1452
ENSG00000131910.5,6,1,0
ENSG00000175707.9,47,0,1
ENSG00000172746.6,1,0,0
ENSG00000253368.4,733,578,626
ENSG00000158246.8,414,365,245
ENSG00000090020.11,485,568,538
ENSG00000214973.3,7,4,11
ENSG00000225159.1,2,1,5
ENSG00000224311.1,1,0,0
ENSG00000142784.16,1787,1188,1605
ENSG00000243659.1,1,0,3
ENSG00000186501.14,644,582,349
ENSG00000206888.1,1,1,2
ENSG00000241547.1,8,3,4
ENSG00000142765.18,224,77,79
ENSG00000142733.17,332,149,163
ENSG00000142748.13,29,1,2
ENSG00000174950.11,4,0,1
ENSG00000231207.1,1,0,0
ENSG00000181773.7,154,23,7
ENSG00000158195.11,3245,1334,1624
